,Rules,Coverage,Precision
0,"IF density IS high AND age IS (46.0, 57.0] THEN CLASS IS malignant",0.33,100.00
1,"IF density IS fat-containing AND age IS (57.0, 66.0] THEN CLASS IS benign",0.31,100.00
2,IF shape IS lobular AND margin IS spiculated THEN CLASS IS malignant,1.99,100.00
3,IF shape IS lobular AND density IS fat-containing THEN CLASS IS benign,0.31,100.00
4,IF density IS high AND shape IS oval THEN CLASS IS benign,0.31,100.00
5,IF density IS high AND margin IS ill-defined THEN CLASS IS malignant,0.33,100.00
6,IF density IS high AND shape IS irregular THEN CLASS IS benign,0.31,100.00
7,IF margin IS obscured AND shape IS round THEN CLASS IS benign,1.25,100.00
8,"IF age IS (46.0, 57.0] AND margin IS ill-defined AND density IS fat-containing THEN CLASS IS malignant",0.66,100.00
9,IF density IS fat-containing AND shape IS round THEN CLASS IS benign,0.31,100.00
10,"IF age IS (46.0, 57.0] AND density IS fat-containing THEN CLASS IS malignant",0.33,100.00
11,IF density IS fat-containing AND margin IS ill-defined THEN CLASS IS malignant,0.33,100.00
12,IF density IS fat-containing THEN CLASS IS benign,0.31,100.00
13,"IF shape IS lobular AND margin IS ill-defined AND density IS iso AND age IS (66.0, 96.0] THEN CLASS IS malignant",0.33,100.00
14,IF shape IS lobular AND density IS iso THEN CLASS IS benign,0.93,100.00
15,"IF age IS (57.0, 66.0] THEN CLASS IS malignant",26.82,59.56
16,"IF age IS (66.0, 96.0] THEN CLASS IS malignant",38.08,80.99
17,IF shape IS irregular AND margin IS circumscribed THEN CLASS IS benign,0.31,100.00
18,IF shape IS irregular AND margin IS microlobulated THEN CLASS IS malignant,0.66,100.00
19,IF margin IS spiculated AND shape IS oval THEN CLASS IS benign,0.31,100.00
20,"IF shape IS irregular AND age IS (46.0, 57.0] AND density IS iso THEN CLASS IS malignant",0.66,100.00
21,"IF margin IS spiculated AND age IS (17.0, 46.0] AND shape IS round THEN CLASS IS benign",0.31,100.00
22,IF margin IS spiculated AND shape IS round THEN CLASS IS malignant,0.33,100.00
23,IF margin IS spiculated AND density IS iso THEN CLASS IS malignant,0.33,100.00
24,IF shape IS irregular AND density IS iso AND margin IS obscured THEN CLASS IS malignant,0.33,100.00
25,IF density IS low THEN CLASS IS benign,64.17,71.28
26,"IF age IS (46.0, 57.0] THEN CLASS IS benign",1.25,100.00
27,IF shape IS oval THEN CLASS IS benign,2.80,100.00
28,"IF age IS (17.0, 46.0] THEN CLASS IS benign",1.25,57.14
29,DEFAULT CLASS IS benign,0.00,0.00
